# Start logging at 2022-10-16 06:26:14 Tokyo Standard Time
[06:26:14] ktrZetto is live!
[06:26:14] 2022年10月16日
[06:26:14]  shotmaker93: indeed
[08:46:13]  kaeos: wimpy younger brother?
[08:46:15]  cosmicmikan: how
[08:46:36]  kaeos: imo ur more of a wario but not fat
[08:47:17]  kaeos: both degenerate
[08:47:39]  kaeos: reset PogChamp
[08:47:47]  efrye684: Perfekt aim there Clap
[08:48:10]  kaeos: u sneezed in ur mask and didnt replace it
[08:48:12]  kaeos: disgusting
[08:48:50]  shotmaker93: it's not cum
[08:48:56]  kaeos: DansGame wet
[08:49:42]  shotmaker93: that poor girl had to snore that dude cum
[08:50:10]  shotmaker93: the poor thing
[08:50:21]  kaeos: AYO ?
[08:50:27]  kaeos: 🤨
[08:51:18]  kaeos: speaking of things that are disgusting i heard the domestic girlfriend opening today and it was really good so i was tempted to watch the show but i read the summary and that shit is FUCKED
[08:51:45]  shotmaker93: is that porn drama?
[08:52:22]  kaeos: yeah
[08:52:30]  cosmicmikan: the girls look basic af
[08:52:38]  cosmicmikan: well mc does too so ig its ok
[08:52:44]  kaeos: lakitu skip patched Sadge
[08:53:15]  shotmaker93: i have no idea what you dudes are on about?
[08:53:20]  laurabraus: whats up
[08:53:32]  cosmicmikan: HI LAURA
[08:53:39]  kaeos: @laurabraus a disney pixar movie about an asian kid who gets kidnapped by an old man with balloons
[08:53:49]  laurabraus: hi erin!!!
[08:53:49]  shotmaker93: oh that's fucked up
[08:54:22] 7 raiders from hectic358 have joined!
[08:54:32]  hectic358: aazzonTwerk aazzonTwerk aazzonTwerk
[08:54:34]  isomaisa: heyyy
[08:54:39]  isomaisa: omg u raided a hot person
[08:54:39]  cosmicmikan: !so hectic358
[08:54:39]  nightbot: Pengu Check out hectic358 who was last seen playing "Fortnite". Give them a follow at twitch.tv/hectic358 Pengu
[08:54:39] Announcement
[08:54:43]  isomaisa: what is wrong with you
[08:54:53]  kirosthegreat: /shoutout
[08:54:54]  laurabraus: welcome raidersss
[08:54:57]  hectic358: thank you for shout out
[08:54:58]  kaeos: WAYTOODANK
[08:54:59]  cosmicmikan: LMAO
[08:55:02]  hectic358: JESUS LMAO
[08:55:05]  cosmicmikan: hahhahaha
[08:55:26]  hectic358: I SCREAM SO MUCH
[08:55:30]  laurabraus: LOL
[08:55:31]  kaeos: "that scared the shit out of me" me too 💀
[08:55:34]  hectic358: I BE SCREAMING BUT THE S IS SILENT
[08:55:46]  hectic358: IM SORRY KAEOS
[08:55:49]  cosmicmikan: ktrzetHeh
[08:55:50]  isomaisa: omg just call me preston
[08:56:06]  isomaisa: lamooo
[08:56:16]  isomaisa: do i call you zetto
[08:56:26]  kaeos: alzheimer's Sadge
[08:56:40]  hectic358: aight zetto ima go eat some food, and remember, lucario is a bottom 5 character
[08:56:44]  hectic358: and zetto is a bottom
[08:56:45]  hectic358: BYE BYE
[08:56:51]  shotmaker93: noted
[08:56:52]  isomaisa: you look like this one douchebag who bullies me on the bus for being pale
[08:57:08]  shotmaker93: lol wat
[08:57:22]  laurabraus: "you look like this one douchebag" LUL
[08:57:32]  isomaisa: noooo
[08:57:34]  isomaisa: nononoonnono
[08:57:37]  cosmicmikan: nani
[08:57:37]  shotmaker93: Zetto the bully
[08:57:49]  laurabraus: cancelled again
[08:57:59]  cosmicmikan: dont go on twitter tomorrow
[08:58:15]  isomaisa: i live in japan ykyk
[08:58:15]  kaeos: wait ur JAPANESE? whoa
[08:58:28]  isomaisa: no im joking
[08:58:30]  shotmaker93: plot twist
[08:58:33]  isomaisa: i live in florida
[08:58:39]  cosmicmikan: eww im sorry
[08:58:40]  kaeos: florida LULW
[08:58:48]  laurabraus: fellow floridian
[08:58:53]  isomaisa: yes
[08:58:57]  isomaisa: im joking once
[08:58:59]  isomaisa: again
[08:59:02]  isomaisa: i live in ohio
[08:59:02]  shotmaker93: what's the worst  state?
[08:59:09]  laurabraus: is that joking or lying
[08:59:10]  isomaisa: final answer
[08:59:14]  kaeos: worst state is florida
[08:59:16]  cosmicmikan: alabama
[08:59:19]  isomaisa: ohio is slay tho
[08:59:43]  kaeos: cali would be worst but theyre one of the less obese states
[08:59:47]  cosmicmikan: ktr is lying he's the best around
[08:59:53]  nehknee: valid
[08:59:55]  nehknee: be funny rn
[09:00:08]  isomaisa: neni
[09:00:19]  kaeos: LA coke hits different
[09:00:25]  isomaisa: you do tiktok?!
[09:00:26]  cosmicmikan: pls
[09:00:45]  kaeos: i laughed LULW
[09:00:57]  laurabraus: silence...
[09:01:00]  nehknee: that was good
[09:01:05]  nehknee: u are funny
[09:01:14]  shotmaker93: PixelBob
[09:01:18]  laurabraus: a tiktoker....
[09:01:21]  isomaisa: LETS HOPE ZETTO IS AS MUCH OF A BOOMER AS HECTIC WAS
[09:01:26]  isomaisa: DO YOU KNOW WHAT KAHOOT
[09:01:31]  kaeos: bust out a tiktok dance
[09:01:34]  isomaisa: ISS??
[09:01:44]  laurabraus: idk if they have kahoot in japan
[09:01:57]  shotmaker93: Zetto dances?
[09:02:17]  isomaisa: YES
[09:02:18]  laurabraus: iso must just be a hardcore zoomer
[09:02:22]  isomaisa: ZETTO HAS KAHOOT
[09:02:24]  kaeos: anything over 30 is a boomer
[09:02:26]  isomaisa: ITS IN JAPAN
[09:02:27]  isomaisa: YES
[09:02:31]  shotmaker93: how come we ain't see none yet!?
[09:02:31]  kaeos: anything over 23 and ur a verified milf
[09:03:01]  kirosthegreat: Zetto Booty Dance not returning results orooHmm   Maybe I'm doing it wrong
[09:03:03]  isomaisa: WHEN WILL U PULL MASK DOWN
[09:03:12]  isomaisa: HOW DO YOU GO 3 HOURS WITH THAT THING
[09:03:27]  shotmaker93: he needs to sneaze strong then maybe it will come off
[09:03:33]  kaeos: they were having kids at 20 in like the 1800s
[09:03:35]  kaeos: milf
[09:03:42]  shotmaker93: gotta make a mess
[09:03:42]  laurabraus: ok i have to go watch a movie w a friend bye everyone
[09:03:48]  kaeos: bye :)
[09:03:54]  isomaisa: HE HAS BIG DICK DOCTOR ENERGY
[09:04:01]  laurabraus: after a while you forget you're wearing a mask i think
[09:04:14]  shotmaker93: tha's bc the lack of oxigen
[09:04:22]  shotmaker93: that's why you start to forget
[09:04:27]  isomaisa: PULL IT DOWN FOR 0.01 SECONDS
[09:04:30]  kaeos: it literally does
[09:04:39]  isomaisa: WHAT
[09:04:46]  kaeos: do u know any milfs u can introduce me to
[09:04:59]  isomaisa: IM A MILF
[09:05:01]  isomaisa: JK
[09:05:04]  cosmicmikan: thank you for enlightening me sensei 🙏
[09:05:12]  isomaisa: I WILL MAKE YOU
[09:05:13]  isomaisa: SLAY
[09:05:18]  cosmicmikan: gl with that
[09:05:32]  kaeos: yas zetto slay 😍
[09:06:21]  iop4everdudes: nice tshirt bruh
[09:06:27]  iop4everdudes: PotFriend
[09:06:40]  kaeos: 1. be a woman
[09:06:42]  kaeos: 2. ???
[09:06:57]  isomaisa: そのマスクをプルダウンするか、あなたが太った豚のように消化するつもりです！ 見知らぬものからの冗談
[09:07:06]  shotmaker93: yo Zetto you got stuffed toys on your bed, how you sleep with them, they don't feel "bulky"?
[09:07:49]  isomaisa: AM I ATTRACTIVE
[09:07:55]  isomaisa: DONT ANSWER THAT
[09:08:19]  kaeos: be careful, theres 13 year olds in chat
[09:09:09]  isomaisa: im older than 14.
[09:09:11]  isomaisa: one year.
[09:09:40]  isomaisa: small stremer
[09:09:46]  isomaisa: we dont know if you are
[09:09:47]  isomaisa: ahembig
[09:09:51]  isomaisa: or small
[09:09:54]  isomaisa: in this case
[09:10:05]  kaeos: i bet dream didnt show the other side of his face during the face reveal because he has a joker scar on the other side
[09:10:05]  isomaisa: proof????
[09:10:22]  isomaisa: 8?
[09:10:23]  nehknee: hello ?
[09:10:28]  nehknee: wtf is happening
[09:10:29]  kaeos: trying to 1 up clint LULW
[09:10:30]  isomaisa: 4 is normal for your age
[09:10:38]  shotmaker93: Zetto is a sex offender he hides is identity
[09:10:52]  isomaisa: fr?
[09:11:12]  isomaisa: im guessing
[09:11:16]  kaeos: @isomaisa he's pushing 30
[09:11:21]  isomaisa: 20 to 15
[09:11:37]  shotmaker93: true Zetto is 30?
[09:11:44]  kaeos: ye
[09:11:46]  isomaisa: zetto
[09:11:49]  isomaisa: how old r u
[09:12:36]  isomaisa: zetto just answer
[09:12:46]  kaeos: i know his age paypal me 50 bucks and ill dm u
[09:12:46]  isomaisa: if im 15 is it legal for me to fuck you.
[09:12:56]  shotmaker93: someone might be or not undercover
[09:13:22]  isomaisa: what if i was 23?
[09:13:23]  cosmicmikan: WHAT
[09:13:27]  isomaisa: would it be legal?
[09:13:31]  kaeos: this dude is trying to get dirt on you
[09:13:32]  kaeos: LMAO
[09:13:41]  isomaisa: so you are over the age or 20?
[09:13:47]  isomaisa: of*
[09:13:56]  isomaisa: okay
[09:14:00]  isomaisa: 21
[09:14:16]  isomaisa: you look young
[09:14:21]  kaeos: it means u dont show the bottom half of ur face
[09:14:29]  isomaisa: listen
[09:14:46]  iop4everdudes: i always thought you looked 23-24, as a 15 year old
[09:14:48]  shotmaker93: no not say you're beta
[09:15:11]  isomaisa: ive seen zettos face before
[09:15:19]  kaeos: as a fetus i thought you looked 28-29
[09:15:26]  isomaisa: cashapp me 50 dollars ill ss and show you
[09:15:31]  iop4everdudes: shut up Kappa
[09:15:50]  iop4everdudes: i said 15 year old to present myself as an innocent figure with no bias or motives
[09:16:11]  isomaisa: i would say your attractiveness is a mid 50
[09:16:17]  kaeos: teens are not innocent theyre FUCKED in the head
[09:16:31]  isomaisa: 50 out of 60
[09:17:06]  kaeos: reset PogChamp
[09:17:06]  cosmicmikan: naur
[09:17:16]  isomaisa: are you older than 22?
[09:17:19] shotmaker93 redeemed Make my bed 1000
[09:17:42]  iop4everdudes: i would rate you a 'i would want to be friends with you because of the stares from the general public' kinda guy
[09:17:45]  isomaisa: oh wow
[09:17:48]  isomaisa: thats sexist
[09:17:53]  shotmaker93: noooooo Zetto scammed me lmao
[09:17:54]  isomaisa: is it because im pansexual???
[09:17:59]  erich_197: Old enough to drink beer, that's good enough :)
[09:18:06]  kaeos: i dont give a shit
[09:18:14]  cosmicmikan: dw ktr i dont care :)
[09:18:38]  isomaisa: okay so 18-21
[09:19:03]  isomaisa: pls.
[09:19:08]  isomaisa: i just noticede
[09:19:09]  iop4everdudes: like your a head turner because of your good looks
[09:19:33]  isomaisa: you can be japansexual i shit you not thats a sexuality.
[09:19:35]  cosmicmikan: good looks we cant even see 50% of his face
[09:19:47]  kaeos: if u keep hyping him up ur gonna get dream levels of let down when he reveals LULW
[09:20:09]  shotmaker93: wet dreams*
[09:20:43]  iop4everdudes: my Japanese friend(i specify due to really low Japanese population in UK), is really into S and M. is that really common in Japan?
[09:21:16]  shotmaker93: haha wot
[09:21:33]  isomaisa: youre not ugly
[09:21:44]  isomaisa: your a 10 if we are talking 10/15
[09:22:36]  kaeos: #putthemaskbackon LULW
[09:22:47]  cosmicmikan: PLS
[09:23:09]  isomaisa: dont you man degration
[09:23:16]  isomaisa: mean*
[09:23:18]  isomaisa: not man
[09:23:21]  isomaisa: what the fuck
[09:23:38]  iop4everdudes: what part of Japan do you live in
[09:23:53]  kaeos: whats ur blood type
[09:23:54]  cosmicmikan: he lives in the capital of nunyabusiness
[09:24:08]  kaeos: LULW
[09:24:15]  shotmaker93: Zetto has rope and whimps under the mattress, this is why he don't do his bed live
[09:24:23]  kaeos: scammed
[09:24:31]  shotmaker93: PERIOD
[09:25:21]  shotmaker93: he ses do the bed no the blanket
[09:25:23]  kaeos: we want you to do your laundry live
[09:25:35]  iop4everdudes: is your English a lot better than an average person of Japan
[09:25:58]  kaeos: i bet my english is better than yours
[09:26:03]  erich_197: It's 100x better than average
[09:26:07]  iop4everdudes: how did you learn a lot. streaming
[09:26:09]  iop4everdudes: ?
[09:26:44]  iop4everdudes: whoa thats so sick. what did you study?
[09:26:52]  kaeos: study dn
[09:26:53]  shotmaker93: bondage
[09:27:12]  iop4everdudes: I'm thinking of doing computer science. would you reccomend to a friend?
[09:27:33]  iop4everdudes: NotLikeThis
[09:27:44]  kaeos: who's ur top 5 rappers
[09:29:03]  kaeos: L
[09:29:15]  shotmaker93: is the streets man
[09:29:40]  erich_197: Where in America did you do your abroad study?
[09:30:33]  shotmaker93: Louisiana
[09:30:37]  shotmaker93: with the crocks
[09:30:39]  nehknee: yooo
[09:30:40]  erich_197: How did you like Chicago?
[09:30:42]  iop4everdudes: bruh he went to the gang hideout
[09:31:13]  erich_197: I live in Edgewater near Andersonville
[09:31:22]  iop4everdudes: what made you study there over in Japan?
[09:31:41]  erich_197: North Chicago near Loyola
[09:31:49]  shotmaker93: he owns a brothel, they do bdsm, he came back in Japan just to scout girls to bring back there
[09:32:12]  erich_197: haha
[09:32:35]  erich_197: does Loyola have hot chicks to pick up or did you go further north to Evanston ?
[09:32:46]  cosmicmikan: no he's a secret agent which is why he covers his face
[09:32:52]  iop4everdudes: do you think studying abroad is better than native
[09:33:06]  erich_197: LUL
[09:33:10]  erich_197: fair fair
[09:33:31]  cosmicmikan: SEE HE DIDNT DENY IT
[09:33:31]  shotmaker93: @cosmicmikan he's a sex offender
[09:33:38]  kaeos: gonna go beat off
[09:33:39]  kaeos: !lurk
[09:33:39]  nightbot: bye bitch
[09:33:45]  cosmicmikan: semll you later nerd
[09:34:40]  shotmaker93: the nightbot quite rude
[09:35:14]  shotmaker93: is that what you tell to your girls to make them feel loved?
[09:35:55]  shotmaker93: i got many bitch, but you;re THE BITCH.. i love you.
[09:36:38] iop4everdudes redeemed Nico Nico Nii 1000
[09:36:54]  cosmicmikan: i could hear him before he even started
[09:37:07]  shotmaker93: the OHHH FUCK is an extra
[09:37:19]  iop4everdudes: what does it mean??
[09:37:28]  erich_197: Ever been to a maid cafe in Tokyo?
[09:37:46]  shotmaker93: with or without a boner?
[09:38:00]  erich_197: I went recently
[09:38:09]  erich_197: a friend wanted to go so I said what the hell why not
[09:38:13]  erich_197: it was... interesting
[09:38:13]  iop4everdudes: that's a fucking long catchphrase
[09:38:27]  erich_197: yeah it was mega cringe
[09:39:08]  iop4everdudes: whats it from??
[09:39:14]  erich_197: I think I hated the upsell part the most
[09:39:23]  erich_197: like, just give me the food and drink and fuck off
[09:39:38]  shotmaker93: bit rude
[09:40:30]  erich_197: I was so jet lagged I had no energy
[09:40:41]  erich_197: but my friend really wanted to experience it
[09:40:54]  erich_197: I mean, they're super nice - but that's their job
[09:40:55]  shotmaker93: then you decide to go get your ears clean
[09:42:39]  shotmaker93: i clean my ears without laying into some girls legs, Zetto ya can do it
[09:43:09]  cosmicmikan: that sounds...interesting
[09:43:19]  shotmaker93: what
[09:43:24]  shotmaker93: cameras in the ears?
[09:43:48]  shotmaker93: and then they stream on twitch
[09:44:16]  shotmaker93: no i will not
[09:46:06]  cosmicmikan: i just got pizzaaaaaaa
[09:46:15]  shotmaker93: in Italy?
[09:46:21]  cosmicmikan: yes
[09:46:28]  cosmicmikan: how did you know
[09:46:39]  shotmaker93: pretty good fucking deal
[09:47:10]  shotmaker93: what you got yourself?
[09:47:12]  cosmicmikan: delivery fee was insane tho
[09:47:17]  cosmicmikan: combo
[09:47:24]  shotmaker93: like?
[09:48:03]  shotmaker93: fellatio?
[09:49:19]  shotmaker93: can i request any song?
[09:51:12]  shotmaker93: well played sir
[09:54:36]  shotmaker93: nanomachine son
[09:59:10]  shotmaker93: Zetto why i saw... things... the be putting band-aid on theyr vag?
[09:59:31]  cosmicmikan: hih
[09:59:32]  cosmicmikan: huh
[09:59:49]  shotmaker93: damn unsolved mistery
[10:02:09]  shotmaker93: breathe
[10:02:28]  shotmaker93: breathe heavily
[10:02:39]  shotmaker93: OOOOOOOOOOOOOOOO
[10:03:02]  shotmaker93: damn almost
[10:08:07]  krystenxo: yo gl! hope you’re doing well <3
[10:08:23]  cosmicmikan: hiiiiii
[10:08:35]  krystenxo: i’m doing alright, it’s been awhile
[10:09:26]  krystenxo: lmao nah, i actually matched my 16 pb in a tourney race yesterday it was irritating lol
[10:09:37]  shotmaker93: すもももももももももも、すもももももももものうち
[10:10:18]  shotmaker93: scammed again lol
[10:10:47]  shotmaker93: LUL
[10:11:26]  shotmaker93: I thought you were Japanese
[10:11:44]  shotmaker93: your honor is at stake
[10:12:30]  shotmaker93: this is what reads "sumomo mo momo, momo mo momo, sumomo mo momo mo momo no uchi."
[10:13:31]  shotmaker93: we rebel a little too much here LUL
[10:15:11]  cosmicmikan: oki i g2g have a good stream miss you already
[10:16:55]  shotmaker93: you better win
[10:18:15]  shotmaker93: pull your pants together and pull them up
[10:18:20]  shotmaker93: win.
[10:20:18]  shotmaker93: don't ask but here there's a say that kinda translate this way:  take the challenges with a hard cock and bring it home
[10:21:51]  shotmaker93: if you fail your dick was not hard enough i don't know how to rly translate it right..
[10:22:34]  shotmaker93: SeemsGood
[10:25:13]  shotmaker93: ktrzetCool
[10:26:15]  shotmaker93: YES
[10:28:29]  shotmaker93: almost to climax
[10:29:30]  shotmaker93: NotLikeThis NotLikeThis NotLikeThis
[10:31:00]  shotmaker93: PORA PUTTANA
[10:31:10]  shotmaker93: POCA*
[10:33:08]  shotmaker93: しまった
[10:35:14]  shotmaker93: awww shit
[10:36:56]  shotmaker93: okay gg :)
[10:37:44] ktrZetto is now offline.
