# Start logging at 2022-05-14 06:52:03 Tokyo Standard Time
[06:52:03] connected
[06:52:04] ktrZetto is live!
[06:52:53]  haine_sense1: WOOO HE'S BACK
[08:08:56]  haine_sense1: @babsmcnh I look individual wearing the same hoodie and comfy trousers as always when everyone else in Cambridge is either in sports specific clothing or formal attire
[08:09:10]  babsmcnh: Lol true
[08:09:28] ブライトくん bright_f4: Pewdiepie moved to japan with his wife two days ago
[08:09:30]  babsmcnh: He’s in the UK rn I believe
[08:09:34] ブライトくん bright_f4: They came on a private jet apparently
[08:09:35]  babsmcnh: oh damnnn
[08:09:39]  laurabraus: i’ll be back in an hour when i’m done w work if y’all are still here!
[08:09:47]  babsmcnh: I need to sleep
[08:09:56]  babsmcnh: IM MEETING A FRIEND TOMORROW :0
[08:09:56]  303devilfish: Poooound brofist
[08:10:00]  haine_sense1: and everyone else has some semblance of control over their hair but I don't! more individual properties :)
[08:10:13]  babsmcnh: Very excited I might try to bring her a present before I meet up with her
[08:10:29]  303devilfish: peepoHappy friend
[08:10:33]  babsmcnh: Lol haine I feel that
[08:10:39]  babsmcnh: Bye FRIENDSSSS HYPERS
[08:10:44]  babsmcnh: Have a good night :3
[08:10:46]  303devilfish: nyannPasu
[08:10:49]  babsmcnh: Or morning lol
[08:10:51]  kirosthegreat: @babsmcnh take care o/
[08:10:52]  babsmcnh: Okie bye bye
[08:11:00]  haine_sense1: bye bye
[08:11:39]  kirosthegreat: Imagine being Pewdiepie's wife, knowing that every night, you get to peg one of the most famous guys on the net.
[08:12:11]  303devilfish: he's imagining it
[08:12:17]  haine_sense1: think I might go too, someone offered to go to McDonalds for breakfast tomorrow with me, so I gotta get sleep so I can get up somewhat early
[08:12:18]  kirosthegreat: It's fun to imagine orooShrug
[08:13:05]  kirosthegreat: @Haine_Sense1 Nice, I'm getting McD's for breakfast tomorrow too. Taking someone to airport really early.
[08:13:14]  kirosthegreat: Take care mate
[08:13:15]  haine_sense1: @KirosTheGreat nice nice
[08:13:28]  kirosthegreat: I'm probably just gonna stay up till then.
[08:13:38]  kirosthegreat: Would have to wake up at 3 anyhow.
[08:14:07]  haine_sense1: have a good rest of stream and a good day, night night. Was good to see you again, missed you :)
[08:16:33]  303devilfish: TIK TOK POGGERS
[08:20:14]  kirosthegreat: Haven't heard this song in a minute
[08:23:00]  303devilfish: PepePls
[08:23:54]  303devilfish: are you sure you're not Clint?
[08:24:07]  kirosthegreat: Storm is passing. Gonna boot pc and see about overclocking the cpu. Will be lurking usausaNodders
[08:25:15]  kirosthegreat: Hoping to undervolt for better thermals saphiaCool
[08:25:45]  303devilfish: COPIUM
[08:46:07]  chachatheboy: you ever thought about getting a feet cam?
[08:46:38]  303devilfish: you ever consider cleaning your floor?
[08:46:47]  chachatheboy: SLURP hey cutie
[08:49:47]  kippykat4774: wowwww
[08:49:49]  kippykat4774: restart
[08:49:50]  kippykat4774: it's done
[08:50:48]  kippykat4774: ayeeee
[09:04:57]  laurabraus: im back
[09:05:03]  laurabraus: what did i miss
[09:05:25]  laurabraus: LMFAOOOOO
[09:06:15]  laurabraus: its ok you've been gone for like three years you're just kind of rusty
[09:06:38] thxrd redeemed Sound Alert: 💕Wha～o💕 500
[09:07:02]  laurabraus: it's okay it was well needed time off i think
[09:12:17]  laurabraus: i forgot to say brb if you said anything in the last 5 min i was away heating up a stromboli
[09:12:45]  thxrd: You got this bro
[09:13:03]  laurabraus: it's okay i'm the same way
[09:13:19]  laurabraus: but if you DID say anything directed at me i wanted you to know
[09:13:36]  laurabraus: stromboli is like bread stuffed with cheese and meat
[09:14:17]  laurabraus: it's cooked in the bread though differently. it's more like a pizza rolled in on itself
[09:14:26]  laurabraus: like pizza buritto. but flatter
[09:14:59]  laurabraus: THEYRE NOT
[09:15:00]  laurabraus: BUT THEY SHOULD BE
[09:15:34]  laurabraus: roll up a pizza
[09:15:49]  laurabraus: a pizza roll not being an entire slice of pizza rolled up is kind of a scam right
[09:15:56]  laurabraus: pizza rolls are more like pizza BALLS
[09:16:12]  laurabraus: i dont know why i had to type balls in caps but thats just who i am
[09:16:39]  laurabraus: ok im sending you some pics so you can see later
[09:17:07]  thxrd: Pizza rolls are definitely a thing
[09:17:29]  thxrd: Calzones are beautiful things as well
[09:17:35]  laurabraus: tostitos pizza rolls. an american college student's saving grace
[09:18:30]  frostneptune: calzones are folded pizzas
[09:19:40]  thxrd: It’s like if you folded a pizza in half and cooked it
[09:20:28]  thxrd: Like in an oven
[09:20:41]  parkgimbap: LuL you pretty much take the pizza dough and fold it
[09:21:00]  frostneptune: oven baked but sometimes they're fried
[09:21:20]  laurabraus: it turns out the pizza roll brand is actually called tostino's. but yeah
[09:21:31]  laurabraus: i think tostitos are chips
[09:21:42]  laurabraus: yeah everyone is right about calzones
[09:21:46]  frostneptune: before
[09:21:55]  thxrd: Before
[09:22:17]  laurabraus: calzone is like a gigantic half-circle shaped pizza roll
[09:23:15]  parkgimbap: they're magically delicious
[09:23:27]  laurabraus: any bread with cheese. amazing
[09:24:31]  laurabraus: i sent a bunch of pics to you whenever you look at them you'll understand
[09:24:32]  parkgimbap: shape wise just think of it as a giant dumpling
[09:24:42]  parkgimbap: with the folds and everything
[09:24:50]  laurabraus: they are all basically the same thing
[09:25:17]  laurabraus: LMAO
[09:25:41]  laurabraus: if it makes you feel better i did not believe you would look at them ever
[09:32:25]  laurabraus: all the enemies look so cute to me today
[09:32:46]  laurabraus: NO WAY
[09:33:11]  laurabraus: thank you
[09:33:37]  thxrd: Every day’s a school day
[09:33:54]  laurabraus: they say you never stop learning this must be what they meant
[09:34:27]  thxrd: You learn something new everyday
[09:38:11]  thxrd: Power through man I believe in you
[09:42:40]  thxrd: You’re averaging 1.2 stars a minute atm
[09:48:32]  frostneptune: you forgot to split FailFish
[09:52:31]  thxrd: Scuffed but doable
[09:53:56]  joshinjapan: holy shit
[09:54:12]  thxrd: Do you have to go in at a certain time to stop it from moving?
[09:54:26]  joshinjapan: he's LIVE POGGERS
[09:55:01]  joshinjapan: no moving reads 4Weird
[09:55:08]  joshinjapan: spelling reds 4Weird
[09:55:29]  joshinjapan: LUL
[09:56:04]  joshinjapan: I use an n64 controller now btw
[09:56:09]  thxrd: 69 nice
[09:56:10]  joshinjapan: GL
[09:57:10]  joshinjapan: new mario cam tech Pog
[09:57:13]  joshinjapan: OMEGALUL
[09:57:18]  frostneptune: LULW
[09:57:30]  joshinjapan: goomba rng LUL
[09:57:37]  joshinjapan: Cope
[09:57:41]  frostneptune: bullied by goombas LUL
[09:57:56]  joshinjapan: dude what the fuck is your 7tv emotes
[09:58:08]  joshinjapan: Oppai HERE carrotcarrot annyPOGGIES sassehthicc OMG Goodopinion OBOOBA POGGIES AprilMayPoggies Thighs eulassWIDE WideOpen THIS hyperPOGGIES POGMILFKERS womenPOV WEDGIES POGGIEZ Pogwalking
[09:58:21]  frostneptune: booBa
[09:58:28]  joshinjapan: 2 Pog
[09:58:41]  joshinjapan: Sadge
[09:58:57]  joshinjapan: SUB 1:05 Pog
[09:59:17]  joshinjapan: EZ Clap
[09:59:23]  joshinjapan: EZ Clap EZ Clap
[09:59:26]  frostneptune: Clap not bad
[09:59:37]  rickitarr64: gg
[09:59:38]  thxrd: EZ CLAP
[09:59:42]  thxrd: GG
[09:59:44]  joshinjapan: POGGERS
[10:00:15]  nightbot: You probably shouldn't give any streamer money. I'm not a financial advisor but that is financial advice. But if you want to help support the channel, and more importantly, help your boy get paid, feel free to click the link. Please give me your money. https://streamlabs.com/ktrzetto/tip https://www.twitch.tv/products/ktrZetto
[10:00:44]  joshinjapan: BananaTime LewdJERK ColoredAhegaos Kissahomie lickL shakethatmoneymaker NewSkirt getready Ahegaos baalGasm Kissu AmmoASMR POGGIESHD AssDance marinThigh POGPOLE hildaShake pogmilk SNAP adjusting SHAKE Hayaku RUN jadezKissu WOWman tailwag ShenhASS POGGIEZ Pogwalking womenPOV POGMILFKERS WEDGIES LickAnnyThighs THIS MordredAss PETTHEPOGGIES WIDEPOGGIES FriezPoggies FriezBootyRoll FriezDrop FriezSnuggle FriezFeetBoops THOSE
[10:01:00]  joshinjapan: good run <3 Clap
[10:01:19]  frostneptune: cya
[10:01:19]  joshinjapan: I ENJOYED MY STAY FeelsStrongMan
[10:01:25]  laurabraus: byeeeeee nice seeing you again!!
[10:01:37]  thxrd: Take care man
[10:01:38]  joshinjapan: 3 months later Sadge
[10:02:20] Now hosting krystenxo.
[10:03:02] ktrZetto is now offline.
[10:23:38]  smc5: WideHardo
[19:34:22] krystenxo has gone offline. Exiting host mode.
