# Start logging at 2022-11-09 09:45:35 Tokyo Standard Time
[09:45:35] ktrZetto is live!
[09:45:35] 2022年11月9日
[09:46:13]  usausachu: First
[11:42:13]  shotmaker93: your mum love you like the ad
[11:43:45]  infynoko: Bottom middle.
[11:43:57]  infynoko: Star World 5.
[11:45:02]  infynoko: Yeah, it leads to Special World.
[11:45:05]  kirosthegreat: Just git gud son
[11:45:18]  shotmaker93: son are you winning!?
[11:45:31]  kirosthegreat: fly
[11:45:51]  303devilfish: just fly 4Head
[11:45:57]  303devilfish: PepePls
[11:46:02]  infynoko: “I should probably get a cape.” That’s 99% of the time playing this game. ktrzetSmile
[11:47:28]  303devilfish: ppHop
[11:47:56]  303devilfish: PepeLaugh it's gonna take you like 4 hours to beat these levels
[11:48:05]  kirosthegreat: Can't be smol. But they want you to figure out running and crouching to get past the pipes
[11:48:07]  usausachu: 4Head
[11:48:52]  shotmaker93: i Crave cheese now.
[11:48:56]  kirosthegreat: Clap
[11:49:14]  usausachu: ktrzetSmile
[11:49:16]  usausachu: ktrzetCheer ktrzetCheer ktrzetCheer ktrzetCheer
[11:50:21]  infynoko: These are just regular levels.
[11:50:34]  kirosthegreat: Footballers trying to clap yo cheeks
[11:50:47]  infynoko: Gamer time. BatChest
[11:51:14]  infynoko: Yeah, now that you mention it, these levels are super hard.
[11:51:23]  infynoko: (I’ll DM you my PayPal info)
[11:51:23]  shotmaker93: Kreygasm
[11:51:25]  303devilfish: YEP
[11:52:13]  303devilfish: vod friends FeelsGoodMan 👉 ⏩
[11:52:16]  infynoko: You have to keep topping up the balloon by hitting the blocks to refresh it.
[11:52:25]  infynoko: Otherwise you can’t progress.
[11:53:29]  infynoko: Damn, you got cheesed.
[11:54:33]  infynoko: Good thing it’s not a skill issue; it’s just that these levels are INCREDIBLY hard and have a 0.0001% completion rate. ktrzetCool
[11:54:50]  kirosthegreat: Failure just gives you another chance to succeed rikkuSit
[11:55:07]  infynoko: May be an idea to go farm some 1-Ups.
[11:55:44]  kirosthegreat: lul
[11:56:25]  kirosthegreat: Get lives after this
[11:56:47]  303devilfish: just dodge
[11:56:57]  shotmaker93: nuts nuts
[11:57:13]  shotmaker93: what's the reward to complete those?
[11:57:16]  kirosthegreat: @Shotmaker93 no nuts during november
[11:57:30]  shotmaker93: can't my bd is in november
[11:57:50]  303devilfish: FeelsBirthdayMan
[11:58:00]  303devilfish: 40
[11:58:09]  kirosthegreat: Probably at least a dozen
[11:58:46]  shotmaker93: 29 dude
[11:59:35]  shotmaker93: why you want to be underaged
[12:01:08]  shotmaker93: thought we were assuming your age
[12:01:15]  shotmaker93: and you replied let's stick with 15
[12:02:07]  303devilfish: peepoFat fat mario
[12:02:23]  shotmaker93: shibuy4Buu
[12:02:24]  kirosthegreat: I *think* you may be able to hold right as soon as you get the balloon. At least if the baseballs haven't started flying yet. Worth a try anyway
[12:04:10]  kirosthegreat: Second guessing your second guessing usausaNodders
[12:04:20]  shotmaker93: Zetto you own the chat a cringe dab i redeemed
[12:04:34]  303devilfish: i dunno, i'm enjoying it
[12:04:56]  kirosthegreat: Idk, I think it's pretty groovy
[12:05:26]  kirosthegreat: naisu
[12:05:41]  joshinjapan: Clap
[12:05:41] JoshInJapan subscribed at Tier 1. They've subscribed for 11 months!
[12:06:25]  joshinjapan: LUL
[12:07:38]  joshinjapan: OMEGALUL
[12:08:44]  shotmaker93: don't die now
[12:09:21]  shotmaker93: GOD DAMN IT
[12:09:33]  kirosthegreat: my boy done died from the fuzzy
[12:09:37]  shotmaker93: i'm enraged good night Zetto
[12:10:06]  kirosthegreat: good question
[12:10:18]  kirosthegreat: there it is
[12:12:09]  renji221: I mean why not anyone that gives a korone reference is a good fallow lol
[12:12:57]  303devilfish: Kapp
[12:16:48]  kirosthegreat: nice
[12:17:52]  303devilfish: bold strategy
[12:18:10]  kirosthegreat: lives
[12:19:34]  kirosthegreat: lol
[12:25:38]  usausachu: ktrzetFrown
[12:25:53]  303devilfish: :(
[12:26:49]  303devilfish: did you try dodging?
[12:27:07]  kirosthegreat: Did it save after you completed the last level? orooHmm
[12:30:41]  laurabraus: are you doing the secret levels still
[12:31:49]  usausachu: 24hr stream
[12:38:29]  303devilfish: and just think, there's 4 more levels after this
[12:38:45]  kaeos: COPIUM
[12:39:53]  laurabraus: i've always thought it was funny that mario was like. a most-played game when it's actually so hard
[12:40:21]  laurabraus: people just embrace the challenge i guess
[12:40:40]  303devilfish: wow
[12:40:43]  303devilfish: that was amazing
[12:42:25]  laurabraus: this is like a bullet hell game
[12:43:19]  kaeos: ill never relate because i play games on easy and look up guides when it gets hard
[12:44:39]  kaeos: hardest mario game is mario odyssey
[12:45:08]  kaeos: its hard bc it was so boring i couldnt force myself to keep playing
[12:45:39]  kaeos: do vegans eat fish
[12:46:00]  kaeos: what about sushi
[12:46:13]  kaeos: OH yeah
[12:47:33]  laurabraus: cant you fireball the fish as fire mario
[12:48:55]  usausachu: usausaShake
[12:49:27]  303devilfish: i made this level :)
[12:49:35]  303devilfish: D:
[12:49:35]  nightbot: D:
[12:49:46]  kaeos: shigeru miyamoto is the GOAT wtf
[12:50:22]  kaeos: who's the GOAT of game dev then
[12:50:57]  303devilfish: NOTED
[12:52:10]  kaeos: i think its beautiful game design how you can lose 3 powerups in 5 seconds
[12:52:21]  usausachu: ktrzetSmile
[12:53:00]  303devilfish: YouDied
[12:53:38]  kaeos: i thought you were choosing this whole time and you were just really fucking dumb
[12:58:07]  notmango: NO WAY
[12:58:08]  notmango: LOL
[12:58:10]  laurabraus: NOOOOOOOO
[12:58:15]  notmango: U BEAT ALL THAT JUST TO FALL OFF?
[12:58:22]  notmango: that actually looked hard
[12:58:30]  notmango: hold shift?
[12:58:42]  notmango: fking noob
[12:59:10]  notmango: sethblings really good at this game isnt he
[12:59:25]  notmango: also LMAO that guys name is so funny
[12:59:27]  notmango: sethbling
[12:59:28]  notmango: LMAOO
[13:00:20]  kaeos: ?
[13:00:35]  kaeos: no i dont think so
[13:00:56]  usausachu: LMAO
[13:01:16]  usausachu: ktrzetSmile
[13:02:01]  kaeos: WutFace
[13:02:03]  kaeos: demon
[13:02:05]  notmango: LMAOAOAOA
[13:02:09]  laurabraus: HAHAHAH
[13:02:18]  laurabraus: its gonna be ok
[13:02:26]  notmango: zetto are you just bad at mario games?
[13:02:29]  notmango: ;P
[13:03:04]  kaeos: i would love to see you play new super mario bros on ds and somehow struggle on that
[13:03:11]  laurabraus: when you finally get this you're gonna feel like a god
[13:04:03]  kaeos: Pog
[13:04:05]  303devilfish: i was here Pog
[13:04:10]  laurabraus: OH MYG OFDDDDDDD
[13:04:12]  laurabraus: YESSSSSS
[13:04:15]  laurabraus: I WAS HERE
[13:04:21]  usausachu: usausaUSA usausaUSA usausaUSA usausaUSA
[13:04:22]  laurabraus: FeelsStrongMan
[13:04:22]  kirosthegreat: clintJAM
[13:04:26]  kaeos: ur gonna break ur fragile gamer bones if u slam the desk much harder
[13:04:38]  notmango: language.
[13:04:47]  notmango: imm watching with mmy 4 year old son who looks up to you
[13:04:49]  notmango: watch what u say
[13:04:53]  kirosthegreat: LUL
[13:04:56]  kaeos: no
[13:05:23]  rinta_rnt: HeyGuys1gonna shower and stream
[13:05:24]  kaeos: ???
[13:05:25]  kaeos: tf
[13:05:27]  kirosthegreat: It offered to save. Idk if it it did
[13:06:02]  laurabraus: LOL
[13:06:04]  usausachu: Ty for the stream usausaLove
[13:06:11]  notmango: ggs
[13:06:13]  notmango: good stream
[13:06:13]  kaeos: do u think yoshi gives good head
[13:06:15]  laurabraus: thank you for your perseverance
[13:06:15]  rinta_rnt: HeyGuys1
[13:06:21]  kaeos: gn :)
[13:07:05] ktrZetto is now offline.
