# Start logging at 2022-02-10 06:58:52 Tokyo Standard Time
[06:58:52]  chef_zack: Pog
[09:18:45]  babsmcnh: its fucking lagging a lot though
[09:18:46]  babsmcnh: my wifi
[09:19:05]  babsmcnh: zetto the weather man
[09:19:06]  chef_zack: edge is a chromium
[09:19:42]  babsmcnh: is chrome > edge
[09:20:04]  babsmcnh: oh i started reading one piece
[09:20:06]  babsmcnh: i have a bet
[09:20:10]  chef_zack: i use opera
[09:20:21]  babsmcnh: 100 pounds to finish first 100 chapters in two weeks
[09:20:25]  chef_zack: i stopped using chrome a few years ago. never felt better
[09:20:28]  babsmcnh: maybe i'll use opera again
[09:20:35]  babsmcnh: it wasnt bad
[09:20:45]  chef_zack: EZ yea
[09:20:48]  chef_zack: gx
[09:20:59]  babsmcnh: easy moneyyyy
[09:21:05]  babsmcnh: i did 6 today
[09:21:13]  chef_zack: i was using opera original before that, they're quite similar
[09:21:41]  babsmcnh: brb gonna PEEEEE
[09:21:57]  chef_zack: i like firefox
[09:26:46]  babsmcnh: back to whomps Sadge
[09:26:57]  babsmcnh: Sadge
[09:27:46]  babsmcnh: im restarting my wifi see you in 5
[09:32:34]  chef_zack: just segments
[09:42:49]  babsmcnh: IM BACKKKK
[09:42:58]  babsmcnh: wtf you're back to the beginning
[09:43:02]  babsmcnh: Sadge
[09:43:08]  babsmcnh: BABDBJTHAJEWUIALDFA
[09:43:18]  babsmcnh: thanks for the correct pronunciation
[09:43:29]  babsmcnh: yea you were here
[09:43:39]  babsmcnh: its basically like you waited for me :)
[09:43:47]  babsmcnh: I WAS HERE POGGERS
[09:43:52]  babsmcnh: gold bomb
[09:44:06]  babsmcnh: SUB HOUR LETS GOOOO
[09:46:32]  babsmcnh: i believe
[09:46:56] 샤보이 schaboi: Pog
[09:47:38]  babsmcnh: hey scha HYPERS
[09:47:55] 샤보이 schaboi: sup babs raerWave
[09:48:41] 샤보이 schaboi: LUL
[09:48:50]  babsmcnh: ktrzetD ktrzetD ktrzetD ktrzetD
[09:49:03] 샤보이 schaboi: lud what 😳
[09:49:16]  babsmcnh: no way zetto messes up this run
[09:49:28]  babsmcnh: Kapp
[09:49:39]  babsmcnh: its not a jinx if you dont mess up the run
[09:49:46] 샤보이 schaboi: i believe in you
[09:49:49] 샤보이 schaboi: 12.5
[09:50:39]  babsmcnh: is dylan good at this?
[09:51:11]  babsmcnh: damnnn
[09:51:24]  babsmcnh: i follow dylan he never streams it Sadge
[09:51:50]  babsmcnh: ahhh ok
[09:52:10] 샤보이 schaboi: ropramens vs terps cage match
[09:52:44]  babsmcnh: Pog
[09:53:03] 샤보이 schaboi: yep
[09:53:50] 샤보이 schaboi: when will you start your vtuber arc
[09:54:22]  babsmcnh: thats what you think
[09:54:53]  babsmcnh: yeah no thiank
[09:55:14]  babsmcnh: thanks
[09:55:21]  frosteddiamond: Aha hows my favorite speedrunner doing today?
[09:55:41] 6 raiders from Cooro1412 have joined!
[09:55:44]  cooro1412: Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart
[09:55:45]  surlaint25: Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart Fairy Raid! cooro11Heart
[09:56:00]  babsmcnh: HYPERS
[09:56:12]  babsmcnh: !so Cooro1412
[09:56:21]  babsmcnh: there was an attempt cooro
[09:56:23]  babsmcnh: lmao
[09:56:34]  oniokichris: Support Raids!
[09:56:38]  cooro1412: hi zetto
[09:56:43]  ktrzetto: !so Cooro1412
[09:56:44]  nightbot: Check out Cooro1412 who was last seen playing "Art". Give them a follow at twitch.tv/Cooro1412
[09:56:46]  frosteddiamond: If only my Usa mod worked here, so close but so far
[09:56:50]  surlaint25: Heyyo Zetto surlaiWave
[09:57:06]  babsmcnh: that was a smooth !so zetto haha
[09:57:51]  surlaint25: Not much, was modding for Cooro and also helping a friend out
[09:58:42]  surlaint25: !lurk got things to do for discord
[09:58:42]  nightbot: ktrzetLurk bye bitch
[09:58:45] oniokichris subscribed at Tier 1.
[09:58:51]  cooro1412: how the speed run going
[09:58:52]  babsmcnh: Pog
[09:59:04]  babsmcnh: this run is going super good rn
[09:59:12]  oniokichris: Hell yeah original
[09:59:28]  babsmcnh: the green at the side is how many seconds he's ahead
[09:59:29]  cooro1412: nice congrat
[09:59:37]  babsmcnh: this will be the sub one hour Prayge
[09:59:44]  babsmcnh: LETS GET RILED UP
[09:59:46]  babsmcnh: POGGERS
[10:00:08]  babsmcnh: you got good time save
[10:00:15]  huckleberry262: I have never been this riled before.
[10:00:27]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[10:00:36]  babsmcnh: this is not great...
[10:00:56]  cooro1412: you can do it
[10:01:15]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[10:01:22]  oniokichris: May the time gods bless you
[10:01:27]  babsmcnh: yeah dont be so pessimistic zetto peepoWTF
[10:01:35]  babsmcnh: sub one hour lets goooo
[10:02:16]  babsmcnh: im going to cry if you dont pb this run.
[10:02:24]  babsmcnh: just a heads up ktrzetChill
[10:02:53]  babsmcnh: pressure produces good quality runs
[10:03:03]  cooro1412: sending you good luck
[10:03:03]  frosteddiamond: I believe in you Zetto, if you do it I will buy you a Cake
[10:03:17]  babsmcnh: guess im crying...
[10:03:18]  frosteddiamond: ...too soon
[10:03:22]  babsmcnh: OMEGALUL
[10:03:48]  oniokichris: NOOOOOOOOO RNG DEVIL
[10:03:51]  babsmcnh: ur improving at the fire skip rly good
[10:04:19]  babsmcnh: Kapp
[10:05:04]  chisasfam: ZETTO IM SO SAD MY WIFI DIED AND I HATE WATCHING ON MOBILE BUT IT WONT TURN BACK ON
[10:05:11]  chisasfam: So I’m here in mobile hello
[10:05:15]  babsmcnh: damn
[10:06:12]  chisasfam: You are welcome, you’re entertaining and v cool so sacrifices must be made
[10:06:25]  chisasfam: The delay isn’t too bad, 20-25 seconds??
[10:06:27]  babsmcnh: true true
[10:06:41]  babsmcnh: idk about cool but yeah he's pretty entertaining
[10:06:55]  chisasfam: Exactlyyy
[10:07:01]  babsmcnh: i think zetto wants to tell him that hes handzome
[10:07:07]  chisasfam: Okay I wouldn’t go as far as handsome and skilled
[10:07:10]  babsmcnh: ktrzetNo
[10:07:13]  chisasfam: Or cool now that I think about it
[10:07:15]  babsmcnh: yeyey
[10:07:17]  musicelliott: Don’t forget cool and handsome
[10:07:26]  chisasfam: Let’s say, entertaining and uhh an okau guy
[10:07:27]  babsmcnh: elliott HYPERS
[10:07:44]  chisasfam: Joking you are v epic in all areas chesL
[10:07:55]  chisasfam: Zetto I’ll make you chicken pasta if you do well
[10:08:03]  chisasfam: Chisas famous chicken pasta
[10:08:51]  frosteddiamond: Wait I am subbed here? How long has this been going on?
[10:09:03]  frosteddiamond: 2 Months huh, I do not remember this but am glad
[10:09:23]  babsmcnh: thats how he hooks you in...
[10:10:13]  babsmcnh: that was great maths there zetto proud of you
[10:10:17]  chisasfam: Don’t forget the service charge too
[10:10:23]  babsmcnh: FeelsStrongMan
[10:10:28]  chisasfam: $60 + $300 service
[10:10:36]  babsmcnh: TRUE LUL
[10:10:54]  babsmcnh: chicken pasta good
[10:11:06]  chisasfam: I am
[10:11:09]  chisasfam: That’s correct
[10:11:16]  babsmcnh: you do have sauce
[10:11:23]  chisasfam: In college I always eat Yosushi or McDonald’s for lunch
[10:11:24]  babsmcnh: you can handmake sauce easily
[10:11:32]  babsmcnh: yosushi great
[10:11:41]  chisasfam: Then I always make chicken pasta when I come home bc it’s the only thing I eat practically
[10:11:52]  chisasfam: Yosushi is amazing I agree
[10:12:22]  babsmcnh: you missed a throw i think
[10:12:23]  musicelliott: Super clean run 🏃🏼♂️
[10:12:28]  babsmcnh: oh wait idk about that
[10:12:33]  babsmcnh: i wasnt there
[10:12:40]  babsmcnh: sushi chain
[10:12:55]  chisasfam: I mean I’m talking shipping this pasta overseas man , idk how well Japanese customs will take to me sending you over a nice warm tagliatelle  pasta with nice melted cheese and assorted chunks of chicken
[10:13:16]  chisasfam: Yoshishi is a Sushi resteraunt
[10:13:19]  chisasfam: It’s v nice
[10:13:41]  babsmcnh: damn zetto you might have to head over to chisas
[10:14:02]  chisasfam: Fly over to brasil we have the biggest Japanese population outside of Japan
[10:14:08]  chisasfam: Even though I’m not in brasil
[10:14:28]  babsmcnh: that wasnt even close ngl
[10:14:41]  babsmcnh: ...
[10:14:47]  babsmcnh: SadCatW
[10:14:59]  babsmcnh: wouldve been faster you going up the long way
[10:15:22]  chisasfam: Marios legs are tired man
[10:15:42]  musicelliott: NOOOO ktrzetNOOO
[10:16:00]  frosteddiamond: Bro Mario is really glad he did leg day
[10:16:08]  chisasfam: Move the man
[10:16:40]  chisasfam: Dream green
[10:16:48]  babsmcnh: man its crazy that you choose to choke here instead of RR, TTC, THI, and bowser throws
[10:16:59]  babsmcnh: i guess the rest will be great then :)
[10:17:03]  babsmcnh: wait what
[10:17:19]  babsmcnh: you need to practice WDW
[10:17:40]  babsmcnh: you could easily get a 59 with that fuckup fixed
[10:18:25]  chisasfam: THI more like tiny huge imposter
[10:18:28]  babsmcnh: i rly wanna see you do 120 just to see your THI stars tbh
[10:18:34]  babsmcnh: monkaS
[10:18:46]  babsmcnh: practice 100s
[10:18:49]  babsmcnh: just 100s
[10:18:56]  babsmcnh: other stars are good
[10:19:13]  chisasfam: I think Zetto doing 120 would be v funny
[10:19:17]  chisasfam: Bc it would just be a vibe
[10:19:33]  babsmcnh: best possible time 1 hour Pog
[10:20:02]  babsmcnh: oh damn
[10:20:05]  babsmcnh: stop falling
[10:20:15]  babsmcnh: ktrzetCheer
[10:20:22]  chisasfam: chisasBLJ chisasBLJ
[10:20:59]  babsmcnh: Prayge
[10:21:13]  chisasfam: What’s your favourite ice cream flavour
[10:21:15]  chisasfam: Serious question
[10:21:18]  chisasfam: Chat answer too
[10:21:28]  chisasfam: I need to know if I’m hanging out with crazy people
[10:21:30]  babsmcnh: uh cookies and cream?
[10:21:38]  babsmcnh: coffee good sometimes too
[10:21:41]  chisasfam: Okay fair fair
[10:21:44]  chisasfam: Ew coffee
[10:21:51]  babsmcnh: no you cant take that from me zetto
[10:21:54]  babsmcnh: i said it first
[10:21:55]  rinta_rnt: Cheer1
[10:21:59]  chisasfam: Babs you are safe, but the coffee ehhh
[10:22:09]  chisasfam: Alright cookies and cream cool cool
[10:22:15]  babsmcnh: its a rare pick tbh
[10:22:20]  chisasfam: Im a Cookie dough and choccy chip kinda guy
[10:22:36]  babsmcnh: zetto copied me telling him not to have the same ice cream too
[10:22:41]  babsmcnh: smh what a copycat
[10:23:02]  babsmcnh: i hate those mushrooms for reds
[10:23:51]  babsmcnh: i said it before you said it
[10:24:02]  babsmcnh: this is what happens to copycats
[10:24:05]  babsmcnh: karma.
[10:24:15]  chisasfam: I think you both copied me
[10:24:19]  babsmcnh: LUL
[10:24:21]  chisasfam: You both like Mario
[10:24:26]  chisasfam: You both are here
[10:24:26]  babsmcnh: trueeee
[10:24:29]  chisasfam: Clearly copying me
[10:24:40]  babsmcnh: zetto and i are different
[10:24:52]  babsmcnh: we just like a lot of te same stuff
[10:25:04]  babsmcnh: cuz he follows what i like
[10:25:07]  babsmcnh: im kinda cool
[10:25:29]  chisasfam: You are cool babs
[10:25:37]  babsmcnh: eyyyy thanks
[10:25:45]  babsmcnh: OMEGALUL
[10:25:50]  chisasfam: Zetto doesn’t know hiroji Miyamoto so i retract my earlier statement of saying he is cool
[10:25:51]  babsmcnh: didnt even argue it
[10:26:07]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[10:26:22]  babsmcnh: damn
[10:26:53]  chisasfam: Nono he isn’t just a person
[10:26:57]  babsmcnh: you dont know hiroji miyamoto thats nuts
[10:26:58]  babsmcnh: apanese rocker Hiroji Miyamoto got his start as the charismatic vocalist, guitarist, and songwriter for Elephant Kashimashi, who released their self-titled debut album in 1988. ∙ The band's sophomore LP, 1988's Elephant Kashimashi II, was voted one of.
[10:27:01]  chisasfam: He is one of the best singers ever
[10:27:07]  chisasfam: Better than
[10:27:11]  babsmcnh: i just know this stuff
[10:27:12]  chisasfam: Taylor swift
[10:27:18]  babsmcnh: this is all my words
[10:27:36]  babsmcnh: i def know who hijori miyamoto is
[10:27:37]  rinta_rnt: 誰？
[10:27:56]  chisasfam: Yep
[10:28:21]  babsmcnh: that graph SadCatW
[10:28:21]  musicelliott: なんですか
[10:28:29]  babsmcnh: why do i watch you everyday
[10:28:31]  babsmcnh: im sick
[10:28:42]  babsmcnh: ...
[10:28:43]  chisasfam: Babs was too stunned , hiroji Miyamoto is too powerful and it’s impossible to put all of our love for him in once setting
[10:28:54]  babsmcnh: true true
[10:29:12]  babsmcnh: this streamer makes me sad
[10:29:21]  chisasfam: Streamer can’t jump@
[10:29:37]  babsmcnh: unfortunate
[10:29:55]  babsmcnh: because i believe
[10:30:03]  babsmcnh: im sad cuz i believe
[10:30:13]  babsmcnh: babs unreformed
[10:30:14]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[10:30:14]  musicelliott: @babsmcnh the mc in your name stands for Mario Cool remember
[10:30:20]  babsmcnh: going back to toxic babs
[10:30:30]  babsmcnh: @MusicElliott oh shit true MARIO COOL POGGERS
[10:30:50]  babsmcnh: Mario Cool NOT HAAAA XD
[10:31:18]  babsmcnh: at least you are consistently losing time :)
[10:31:32]  babsmcnh: that downward slope pretty straight
[10:31:53]  chisasfam: Zetto do you like foxes
[10:32:10]  babsmcnh: Pog
[10:32:19]  babsmcnh: HES GOINGGGG
[10:32:26]  babsmcnh: ZETTO IS AT IT AGAIN
[10:32:29]  babsmcnh: making me cry
[10:32:36]  chisasfam: Pop off
[10:32:38]  babsmcnh: FeelsNothingMan
[10:32:56]  chisasfam: F
[10:33:01]  babsmcnh: the fuck are you eating
[10:33:13]  babsmcnh: this looks HILARIOUS
[10:33:21]  chisasfam: Nomnomnom
[10:33:31]  musicelliott: silleeSuffer
[10:33:37]  musicelliott: premierCry
[10:33:44]  chisasfam: chesN chesN
[10:33:47]  babsmcnh: binge eating whenever you lose at mario is gonna make you super fat
[10:34:11]  babsmcnh: it looked fucking funny
[10:34:16]  babsmcnh: just standing there like an npc
[10:34:17]  musicelliott: premierYuck premierYuck premierYuck
[10:34:25]  babsmcnh: slightly off camera
[10:34:52]  usausachu: asdsdsdsdsdasdas
[10:34:53]  babsmcnh: if you eat one of those who does it everytime you lose you'll become obese
[10:34:54]  musicelliott: If you PB this then they will let foreign students enter Japan soon
[10:34:56]  chef_zack: clints chat is not to be taken seriously
[10:35:03]  babsmcnh: like 100 of those per day
[10:35:07]  chisasfam: He was walking into the wall bc the player pushed him abit and now his Path dindins is broken
[10:35:10]  babsmcnh: THIS IS THE RUN
[10:35:16]  chisasfam: Path finding **
[10:35:20]  babsmcnh: lmao chisa
[10:35:36]  chisasfam: Yes babs
[10:35:45]  laurabraus: im back i went to eat dinner
[10:35:47]  babsmcnh: @Chef_Zack i take you seriously peepoBlanket
[10:36:02]  babsmcnh: laura he choked again
[10:36:09]  laurabraus: NOOOOOO
[10:36:19]  chisasfam: Zetto please PB I need to go to Uni and Yoshida is my only solution
[10:36:21]  musicelliott: It’s only 150,000 students no biggie
[10:36:22]  chisasfam: Let me in
[10:36:30]  chisasfam: Let me in I need to see vkei bands live please
[10:36:31]  babsmcnh: he needs to go to a doctor for his oesphagus
[10:36:41]  babsmcnh: he keeps fucking choking man something is wrong
[10:37:30]  babsmcnh: OMEGALUL RESET
[10:37:34]  chisasfam: Choking on marios d-
[10:37:36]  babsmcnh: this run is cursed
[10:37:40]  babsmcnh: i feel it in my bones
[10:37:46]  babsmcnh: @Chisasfam 😳
[10:37:57]  chisasfam: Yoooo 📸
[10:37:57]  babsmcnh: also +0.1 OMEGALUL so bad
[10:38:06]  babsmcnh: that message was for rob
[10:38:19]  babsmcnh: from
[10:38:29]  babsmcnh: no thats just what he would say lets be real
[10:38:39]  babsmcnh: thats a rob message if ive ever seen one
[10:38:44]  chisasfam: 1 second behind smh
[10:39:27]  chisasfam: Okay okay right zetto kanji seems really overly just awkward how needed is it
[10:39:34]  babsmcnh: i cant believe one of my pasttime activities is to watch a japanese dude playthrough a kids game
[10:39:38]  chisasfam: Like do I really need to know 5000
[10:39:58]  chisasfam: Mario is not a kids game chain chomp is scary
[10:39:58]  babsmcnh: lmao
[10:40:25]  babsmcnh: tru whomps is a psychological horror
[10:40:39]  babsmcnh: breaks speedrunners mental states
[10:41:03]  chisasfam: Whomps fortress was used as an interrogation method by the Japanese Police force in 1999
[10:41:15]  robertzarmy: i know 15 kanji
[10:41:19]  babsmcnh: would you wanna live forever in japan
[10:41:23]  chisasfam: I know 0
[10:41:28]  babsmcnh: ey rob
[10:41:30]  robertzarmy: learn kanji
[10:41:30]  robertzarmy: its easy
[10:41:31]  babsmcnh: i did one
[10:41:37]  babsmcnh: wait i'll get it for you
[10:41:39]  rinta_rnt: いやむずいけど
[10:41:46]  babsmcnh: +0.1 OMEGALUL so bad
[10:41:52]  babsmcnh: was that a good one rob
[10:42:00]  chisasfam: I need to have JLPT-N2 before I go to Uni bc they teach for JLPT-N3 and 4
[10:42:19]  babsmcnh: @Chisasfam they stopped using it because of ethical implications monkaW
[10:42:19]  robertzarmy: nah n2 is more advanced than 3 and 4
[10:42:50]  chisasfam: I thought 1 was lowest
[10:42:54]  chisasfam: And 5 was highest
[10:42:56]  robertzarmy: nah 1 is almost fluent
[10:42:58]  robertzarmy: 5 is lowest
[10:42:58]  rinta_rnt: ステマ
[10:43:08]  babsmcnh: SUGGOI AYAYA
[10:43:09]  chisasfam: Right okay so that way around
[10:43:16]  babsmcnh: idk how to spell it
[10:43:19]  babsmcnh: gomen
[10:43:37]  babsmcnh: gomen na sai?
[10:43:49]  musicelliott: Yes please I’m always trying to improve on Japanese
[10:43:51]  robertzarmy: i wonder how much kanji i know actually
[10:43:53]  babsmcnh: KAWAII ktrzetAY
[10:43:55]  robertzarmy: well "know"
[10:44:03]  musicelliott: Maybe you can do 15 minutes of Japanese only for every hour you stream haha
[10:44:05]  chisasfam: I need N4 before I go bc Yoshida Institute and Tokyo Institute want 150 hours or prior learning and a JLPT N4 or whichever one
[10:44:06]  babsmcnh: whats this called
[10:44:12]  chisasfam: Bc it makes it easier for them
[10:44:22]  babsmcnh: the words instead of kanji
[10:44:30]  robertzarmy: vocab?
[10:44:34]  babsmcnh: why do you use kanji instead of the words actually
[10:44:45]  robertzarmy: cause there are words that have same spelling
[10:44:50]  robertzarmy: and would overlap on writing
[10:44:55]  babsmcnh: woah
[10:44:55]  robertzarmy: its easier
[10:45:00]  babsmcnh: interesting
[10:45:08]  chisasfam: You don’t do that smh imagine
[10:45:28]  chisasfam: Zetto I’ll teach you Portuguese okay
[10:45:37]  chisasfam: “Eu gosto de cocô”
[10:45:42]  chisasfam: That means I am very cool
[10:45:44]  chisasfam: Trust me
[10:45:45]  robertzarmy: knowing kanji really does help if you don't know a word
[10:45:56]  robertzarmy: sometimes it does
[10:45:58]  babsmcnh: CHOTTO MATTE ONI-SAN
[10:46:17]  babsmcnh: i love cock
[10:46:19]  rinta_rnt: 🌺🌹🍀🌼🌸🍀🌹🌺🌸🌺 🌹イベント協力のお願い🌹🌺 いつも訪問ありがとうございます😆✨  🎀イベント🎀春の花祭りで65ベイビーコインを集めています(๑•᎑<๑)✨  一緒にイベントギフト 🌺🌹🌸花を咲かせて🌹🌺🌸を贈ってりんぽょにぬいぐるみをプレゼントしてみませんか🤗🤗
[10:46:42]  babsmcnh: why did you say that portugese out loud
[10:46:53]  chisasfam: Ahah
[10:46:55]  babsmcnh: time to cancel zetto
[10:47:09]  chisasfam: Tu gosta de cocô smh
[10:47:13]  robertzarmy: CANCEL THIS GUY??
[10:47:23]  chisasfam: You did very well, I agree tu gosta de cocô
[10:47:24]  babsmcnh: you literally are just like ron burgundy
[10:47:34]  andrewangus: LUL
[10:47:36]  babsmcnh: pretty sure it means you love cock
[10:47:40]  chisasfam: Zetto “eu gosto de cocô “ means I like poo
[10:47:41]  andrewangus: LULW
[10:47:46]  babsmcnh: OMEGALUL
[10:47:49]  chisasfam: Cocô means poo
[10:47:53]  babsmcnh: oh poo
[10:47:54]  chisasfam: Cocô means coconut
[10:48:03]  robertzarmy: zetto would love poo
[10:48:05]  robertzarmy: poo man
[10:48:06]  robertzarmy: ahah
[10:48:08]  chisasfam: Cocô - poo || coco - coconut
[10:48:12]  babsmcnh: i have no idea about any of portugese
[10:48:31]  babsmcnh: ron burgundy is a fictional character that did a newshow in a movie
[10:48:37]  chisasfam: If it has the hat it’s poo
[10:48:39]  babsmcnh: he just read lines without reading them
[10:48:58]  babsmcnh: so he ends up reading FUCK YOU SAN FRANCISCO at the end
[10:49:18]  babsmcnh: and it takes him 2 minutes to realize that he said that
[10:49:20]  chisasfam: Okay fr to say “I’m good” you can say “Eu bom” or “Eu muito bom”
[10:49:26]  chisasfam: Bom is good
[10:49:29]  chisasfam: Eu is I
[10:49:33]  chisasfam: Muito is very
[10:49:39]  robertzarmy: muito real?
[10:49:42]  babsmcnh: whats i in spanish
[10:49:56]  chisasfam: Spanish is Portuguese for losers
[10:50:02]  babsmcnh: real zetto
[10:50:04]  andrewangus: muitoreal POGGERS
[10:50:05]  chef_zack: very real?
[10:50:11]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[10:50:11]  babsmcnh: it is real not re-al
[10:50:41]  babsmcnh: Eu is bom Pepega
[10:50:57]  robertzarmy: im at 440 kanji
[10:51:01]  robertzarmy: basically fluent
[10:51:03]  babsmcnh: your portuguese accent is not very good
[10:51:08]  chisasfam: Eu is pronounced eh-w
[10:51:18]  chisasfam: Zetto we need to work on your Portuguese accent
[10:51:29]  babsmcnh: Eu is I
[10:51:36]  babsmcnh: Bom is good
[10:51:39]  chisasfam: You sound like someone trying to speak Portuguese and not like an actual Portuguese person
[10:51:52]  babsmcnh: you are saying one portuguese word is another portuguese word
[10:51:55]  chisasfam: Bom is pronounced B-ohm
[10:52:09]  babsmcnh: thats like saying good is I Pepega
[10:52:14]  andrewangus: wtf rob i thought you didnt care about kanji how are you now at like over double my learned kanji LUL
[10:52:35]  robertzarmy: build different
[10:52:37]  robertzarmy: built
[10:52:43]  chisasfam: We need to work on the brasilian accent, we can’t have you sounding like a Portugal person
[10:53:01]  robertzarmy: kanji is my most learned part of japanese
[10:53:08]  robertzarmy: i know all n5 and i almost know all n4
[10:53:30]  chisasfam: What if you cross paths with me
[10:53:33]  cosmicmikan: im back you cant get rid of me
[10:53:40]  babsmcnh: chisa ur in portugal?
[10:53:44]  chisasfam: You think ill speak English or Japanese with you?
[10:53:49]  chisasfam: No I’ll speak Portuguese
[10:53:54]  chisasfam: I’m brasilian babs lol
[10:54:11]  robertzarmy: if I saw zetto id speak in stupid cause hes very stupid.
[10:54:18]  cosmicmikan: WutFace
[10:54:24]  babsmcnh: got em
[10:54:34]  babsmcnh: if i saw zetto i'd walk the other way
[10:54:41]  andrewangus: 🗿
[10:54:45]  chisasfam: I’ll see you and I’ll go “oiii Zetto meu amigo tudo bom mano”
[10:54:46]  robertzarmy: if i saw babs i would trip her and run away
[10:54:48]  babsmcnh: YEP
[10:54:53]  babsmcnh: wait what
[10:55:23]  chisasfam: If I saw any of this chat I’d ask you all random questions bc that’s what I do here anyway
[10:55:30]  babsmcnh: LUL
[10:55:33]  babsmcnh: iits over man
[10:55:35]  cosmicmikan: omg
[10:55:53]  babsmcnh: if i saw zetto id laugh
[10:55:56]  babsmcnh: tbh
[10:56:03]  robertzarmy: just point at him and laugh
[10:56:06]  babsmcnh: like i wouldnt laugh AT you
[10:56:19]  babsmcnh: idk id just be like woah this is weird
[10:56:28]  chisasfam: Land on this ratio 🤪🤪
[10:56:28]  babsmcnh: and id just do an awkward laugh
[10:56:34]  babsmcnh: out of excitement
[10:56:40]  babsmcnh: wtf
[10:56:47]  babsmcnh: rob would take pics OMEGALUL
[10:56:52]  babsmcnh: id come up
[10:56:59]  robertzarmy: if i wanted to talk i woulda done it already bro
[10:57:01]  babsmcnh: id be like hey are you kevin?
[10:57:04]  chisasfam: I would talk to you yeah
[10:57:05]  robertzarmy: ive got several of u sleeping
[10:57:16]  babsmcnh: and then based on the expression id start making fun of you
[10:57:18]  chisasfam: But I would talk in Portuguese
[10:57:37]  babsmcnh: i know ur voice though
[10:57:40]  babsmcnh: get rekted
[10:57:59]  cosmicmikan: LUL
[10:58:07]  cosmicmikan: wait wrong emote fuck me
[10:58:11]  chisasfam: What if we pull up your twitch and go “this you”
[10:58:13]  babsmcnh: lmao mikan
[10:58:21]  babsmcnh: you sound like a dumbass
[10:58:21]  cosmicmikan: BibleThump
[10:58:23]  robertzarmy: it doesn't sound that different
[10:58:28]  babsmcnh: i think the mic doesnt change that
[10:58:31]  babsmcnh: PepeLaugh
[10:58:36]  babsmcnh: I MEANT YOUUUU
[10:58:43]  cosmicmikan: BAHAHAHAHA
[10:58:46]  babsmcnh: NO THEY ARE SEPARATE MESSAGES
[10:58:51]  babsmcnh: ☠️
[10:58:57]  andrewangus: noooo
[10:59:04]  cosmicmikan: LMAO
[10:59:08]  cosmicmikan: no they were sepearte LMAO
[10:59:22]  cosmicmikan: its cuz i used the wrong emote
[10:59:28]  babsmcnh: WAIT WHAT
[10:59:28]  cosmicmikan: in the middle of yalls convo
[10:59:29]  chisasfam: chesPeek
[10:59:32]  babsmcnh: WHEN DID YOU CALL ME UGLY
[10:59:36]  babsmcnh: I WASNT EVEN HERE MAN
[10:59:39]  cosmicmikan: woah TOXIC
[10:59:40]  chef_zack: babs is a girl
[10:59:41]  chef_zack: ?
[10:59:45]  babsmcnh: ye
[10:59:45]  chisasfam: Dumbass more like among us ass
[10:59:49]  robertzarmy: petTheMona
[11:00:04]  babsmcnh: Zack you in the anime nights discord?
[11:00:07]  chef_zack: explains alot
[11:00:12]  babsmcnh: UH WHAT
[11:00:15]  babsmcnh: BITCH
[11:00:20]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[11:00:22]  babsmcnh: Pengu
[11:00:24]  chisasfam: It does work
[11:00:25]  cosmicmikan: hello?
[11:00:44]  chisasfam: I am funny zetto and you agree with that you have laughed at atleast 5 of my messages
[11:00:46]  robertzarmy: babs i think zack is just some random
[11:00:48]  babsmcnh: zack bout to get banned by mikan PepeLaugh
[11:00:56]  babsmcnh: rob
[11:00:57]  cosmicmikan: PogChamp
[11:01:02]  cosmicmikan: someone said ban???????????
[11:01:06]  babsmcnh: i've known zack longer than i've know you OMEGALUL
[11:01:13]  babsmcnh: zacks an offline chatter lmao
[11:01:16]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[11:01:24]  robertzarmy: oh. another soulless demon
[11:01:46]  robertzarmy: i am
[11:01:46]  babsmcnh: bro zetto probably reads my messages outside of streaming and he sighs
[11:01:52]  cosmicmikan: lmao
[11:01:57]  chef_zack: robert you might as well be talking in an offline chat right now
[11:01:58]  robertzarmy: zetto u literally demonize discord chatters
