# Start logging at 2022-01-30 01:44:45 Tokyo Standard Time
[01:44:45] Exited host mode.
[01:44:45] 2022年1月30日
[01:44:51] 2 host commands remaining this half hour.
[01:44:52] Now hosting JoshInJapan.
[01:45:05] Exited host mode.
[04:26:20] ktrZetto is live!
[04:26:56]  thxrd: YESSIRRRR
[06:49:27]  saltychildofthesea: he will stream COPIUM
[06:49:43]  inceptionrealm: FeelsBadMan
[06:49:57]  saltychildofthesea: didn't even stream on his birthday SadCatW
[06:50:56]  saltychildofthesea: monkaS
[06:51:16]  saltychildofthesea: that feels like a monkaTOS moment
[06:52:32]  inceptionrealm: Only thing I can think is if you pressed Z PepoG
[06:52:37]  saltychildofthesea: he meant klinc bevens twitch dont ban Prayge
[06:53:11]  inceptionrealm: oh, I get you
[06:53:49]  saltychildofthesea: in minecraft
[06:54:23]  saltychildofthesea: phew dodged a ban Prayge
[06:54:42]  inceptionrealm: The tactical time save for this run 5Head
[06:54:45]  saltychildofthesea: true 5Head
[06:55:00]  inceptionrealm: Like 16 star runners.
[06:55:45]  saltychildofthesea: no reset run? PogChamp
[06:56:36]  inceptionrealm: Loads of time save in Tippy too POGGIES
[06:56:43]  saltychildofthesea: pb bace POGGIES
[07:00:00]  inceptionrealm: Sub 31 fire sea exit EZ
[07:00:26]  saltychildofthesea: EZ Clap
[07:00:47]  saltychildofthesea: monkaW what happened zetto?
[07:01:42]  saltychildofthesea: OBOOBA broken rack Sadge
[07:02:26]  inceptionrealm: monaLewd
[07:02:38]  saltychildofthesea: ah that seems unlucky 🤡
[07:04:11]  saltychildofthesea: daphT monaLewd
[07:04:48]  cayce_bot: no worries! yeah i saw you streaming on jij's discord
[07:05:43]  cayce_bot: is allg
[07:05:56]  cayce_bot: yeah i saw do you know how long it took in the end?
[07:06:25]  cayce_bot: he said he wouldn't end stream until he pb'd
[07:07:06]  saltychildofthesea: PeepoPacePal
[07:07:08]  cayce_bot: oh no sadge
[07:08:07]  cayce_bot: lol damn sounds hectic lol
[07:08:15]  cayce_bot: are you gonna pb?
[07:08:21]  cayce_bot: or have a mental breakdown?
[07:08:48]  cayce_bot: ok lesssgooooo
[07:09:02]  cayce_bot: mario64 out here crushing souls
[07:09:54]  cayce_bot: does your pb beat josh's?
[07:10:20]  cayce_bot: oh ok bye
[07:10:32]  cayce_bot: no jk jk LUL
[07:11:45]  cayce_bot: this is all crazy to me and i grew up when this game first came out
[07:12:07]  cayce_bot: yeah that it's still a thing
[07:12:51]  cayce_bot: lol how did we end up here mrccOhgod
[07:13:13]  cayce_bot: i've been watching josh play it for so long now that i literally walk around hearing YAH HOO
[07:14:34]  saltychildofthesea: this game is like a parasite
[07:14:52]  saltychildofthesea: but a welcome parasite
[07:15:06]  cayce_bot: anyway good luck! imma go have breakfast <3
[07:15:37]  cayce_bot: haha yes love link's sounds
[07:15:42]  kaeos: hey zetto ur looking drippy asf today
[07:15:50]  cayce_bot: check you later fs
[07:17:22]  saltychildofthesea: up unyil ttc you were cracked
[07:18:11]  saltychildofthesea: something was golded POGGERS
[07:19:15]  saltychildofthesea: its looking very dire dire docks rn Prayge
[07:20:11]  saltychildofthesea: Prayge pb hopefully
[07:20:35]  saltychildofthesea: please no bonks
[07:20:37]  saltychildofthesea: Prayge
[07:20:45]  cosmicmikan: HI IM LATEE
[07:21:09]  inceptionrealm: POGGERS
[07:21:11]  saltychildofthesea: hey bear HYPERS
[07:21:18]  cosmicmikan: hey all
[07:23:06]  saltychildofthesea: its fine Cope
[07:23:16]  saltychildofthesea: its ok ttc timesave COPIUM
[07:23:19]  inceptionrealm: COPIUM
[07:23:43]  kaeos: why are you wearing a mask in your own home?
[07:24:13]  saltychildofthesea: answer is on !stream5
[07:24:29]  kaeos: fuck u buddy
[07:24:40]  saltychildofthesea: HYPERS
[07:27:28]  saltychildofthesea: Prayge ttc save
[07:27:46]  inceptionrealm: Pog
[07:28:12]  saltychildofthesea: Prayge lets stay calm
[07:29:15]  kaeos: dont get attached
[07:30:01]  saltychildofthesea: *is glued to the run*
[07:30:42]  inceptionrealm: 2 minutes green Pog
[07:30:49]  saltychildofthesea: Prayge
[07:31:10]  kaeos: LULW
[07:31:12]  inceptionrealm: LOL
[07:31:32]  kaeos: dont let this distract you from the fact that shuton down aired a pikmin to recover
[07:31:33]  largebock: still a gold Pog
[07:31:38]  saltychildofthesea: GOLD POGGIES
[07:33:16]  saltychildofthesea: Prayge
[07:33:42]  saltychildofthesea: this is it Prayge Prayge Prayge
[07:33:51]  inceptionrealm: for the sub 1:05 Prayge
[07:34:02]  inceptionrealm: Pog
[07:34:05]  saltychildofthesea: PogChamp
[07:34:39]  largebock: gg nice sub 1:05
[07:34:42]  saltychildofthesea: WOOOOOO ktrzetD
[07:35:26]  saltychildofthesea: literally fell off
[07:35:36]  kaeos: + L
[07:35:38]  andrewangus: Pog nice pb
[07:36:04]  saltychildofthesea: + ratio
[07:36:43]  saltychildofthesea: Prayge good controllers doing gods work
[07:37:05]  saltychildofthesea: arkeus 4Head
[07:37:11]  kaeos: they call it arkeus in the english trailers
[07:37:45]  kaeos: play on ur wiimotes
[07:40:45]  saltychildofthesea: ok calling babs Prayge
[07:41:03]  ktrzetto: !game Pokemon Legends Arceus
[07:41:04]  nightbot: @ktrZetto -> The stream game has been updated to: Pokémon Legends: Arceus
[07:42:26]  kaeos: u have to put ur real name or the game bugs
[07:42:30]  saltychildofthesea: zeeto KKona
[07:43:22]  kaeos: overlay is over the chat box
[07:45:13]  kaeos: u just got isekai'd
[07:45:23]  babsmcnh: I’m here but I’ll be in the background
[07:47:16]  kaeos: the tutorial takes like 2 hours
[07:47:19]  kaeos: and its a ton of text
[07:47:41]  cosmicmikan: isnt that the name of an isekai lmao
[07:47:54]  saltychildofthesea: ok gonna go sleep its a quarter till 3
[07:47:56]  kaeos: this is literally 異世界はスマートフォンとともに。
[07:47:59]  cosmicmikan: summoned into another world with my smartphone
[07:48:11]  cosmicmikan: oh rip
[07:48:11]  kaeos: wtf
[07:48:12]  kaeos: i liked it
[07:48:20]  cosmicmikan: i was going to try it but nevermind
[07:48:44]  kaeos: @saltychildofthesea gn :)
[07:48:58]  saltychildofthesea: nini HYPERS
[07:49:30]  kaeos: i like anime if it has isekei and op protag
[07:51:24]  kaeos: this guy dresses like how i imagine people from california dress
[07:51:56]  kaeos: no the profressor
[07:52:00]  kaeos: professor
[07:52:32]  kaeos: i chose oshawatt bc i think its final evo looks best
[07:53:01]  kaeos: typhlosion looks high asf
[07:56:16]  kaeos: i take ibuprofen when i play this game because the graphics and framerate literally give me a headache
[07:58:37]  kaeos: call thatjoycon drifn tokyo drift xD
[07:58:40]  kaeos: bc ur in japan xD
[07:59:11]  kaeos: its dawn Pog
[08:01:03]  kaeos: AMOG??
[08:01:53]  kaeos: everyone has an ancestor but whe is provessor laventon an ancestor of
[08:01:57]  kaeos: my theory is that he died a virgin
[08:04:10]  kaeos: pro gress Pepega
[08:04:39]  kaeos: prague ress
[08:04:55]  kaeos: no ur saying prague wrong now
[08:05:15]  kaeos: prague is the capital of the Czech Republic
[08:05:56]  kaeos: JP education Sadge
[08:08:12]  cosmicmikan: LUL
[08:08:13]  kaeos: ?
[08:08:33]  kaeos: ur weird
[08:08:47]  kaeos: no
[08:08:53]  cosmicmikan: ktr...
[08:09:20]  kaeos: u also grew up to buy physical copies of hentai so clearly we had a different upbringing
[08:09:49]  kaeos: just a novelty COPIUM
[08:11:23]  kaeos: theres a lot of really good water and fire types
[08:12:00]  kaeos: theres trading
[08:12:14]  kaeos: i think you can get all the starters without trading though
[08:14:13]  kaeos: Pepega my streamer Sadge
[08:15:33]  kaeos: thats cynthias great(x8) grandpa
[08:16:42]  kaeos: ego andy FeelsWeirdMan
[08:17:23]  kaeos: yes
[08:18:03]  kaeos: i havent finished the story yet though so maybe theres something with the space time shit that makes it different
[08:19:59]  kaeos: the graphics look like the same quality of ur follower count numbers
[08:21:06]  kaeos: you die
[08:22:23]  kaeos: shinx monkaS
[08:25:08]  kaeos: wow the cinematic brilliance to have the rift in the sky in the background when she talks about you falling from the sky
[08:26:21]  kaeos: Wow! Hisui is based on Hokkaido! It includes homages to the indigenous Ainu culture!
[08:27:08]  kaeos: b D:
[08:28:05]  kaeos: idk why this game gives me motion sickness but botw doesnt
[08:28:33]  kaeos: what color are ur eyes irl
[08:29:02]  kaeos: pls dont do that ever again
[08:30:14]  kaeos: professor rowan
[08:30:38]  kaeos: OH
[08:30:41]  kaeos: thats cool
[08:30:52]  kaeos: so this is the first kamado
[08:31:56]  kaeos: if u charged at him instead u would have won and the game would have ended there
[08:32:13]  kaeos: amng
[08:33:19]  kaeos: no rank no rights no representation
[08:35:05]  kaeos: i love NFTs and crypto
[08:36:26]  kaeos: its not even close to done PepeLaugh
[08:39:04]  kaeos: u have to get to level 10 for it to count as complete
[08:43:08]  kaeos: if you get close enough to get the crosshair things you can hold ZL to autolock
[08:46:04]  kaeos: the pokemon in this game are super beefy
[08:46:14]  kaeos: i swear they did some shit to make sure level differences dont matter
[08:46:42]  kaeos: im overleveled by 30 and i sometimes cant one shot unless its super effective
[08:48:39]  kaeos: running from a wurmple FeelsWeirdMan
[08:49:30]  kaeos: its really grindy
[08:51:44]  kaeos: if u play the game like i am where u do all the research stuff for the pokedex before moving on with the story, youll be super overleveled
[08:52:17]  kaeos: she wants u bro
[08:53:01]  kaeos: Sadge
[08:53:39]  kaeos: wow ur actually socially inept
[08:58:12]  kaeos: ktrzetto skip incoming
[09:01:25]  kaeos: key items
[09:02:28]  kaeos: instead of battling these pokemon, have u tried conflict resolution?
[09:04:46]  kaeos: i assume they give more points to rank up
[09:08:41]  kaeos: i love when people overfeed their cats and call them heckin chonkers
[09:09:24]  kaeos: but itll get so many internet points
[09:10:20]  kaeos: balloon pokemon that kidnaps children monkaW
[09:11:28]  kaeos: press +
[09:11:57]  kaeos: oh wait i meant Y
[09:12:00]  kaeos: my b
[09:12:07]  kaeos: it shows u turn order
[09:17:23]  kaeos: ikr
[09:19:36]  kaeos: doesnt even have 70 stars LULW
[09:20:41]  kaeos: same 1 meal FeelsGoodMan Clap
[09:21:45]  kaeos: shes 12 FeelsWeirdMan
[09:22:33]  kaeos: 2
[09:23:16]  kaeos: I pride myself and think of myself as a man of faith, as there's a drive into deep left field by Castellanos and that'll be a home run. And so that'll make it a 4-0 ballgame.
[09:24:27]  kaeos: he's just like xqc widepeepoHaoppy
[09:24:33]  kaeos: widepeepoHappy
[09:25:52]  kaeos: have u ever been to a muscle woman cafe
[09:27:01]  kaeos: i wish zisu would crush my head between her thighs like a watermelon
[09:27:24]  kaeos: kink shaming FeelsWeirdMan
[09:29:38]  kaeos: i like how they show IVs
[09:30:32]  kaeos: they call them effort somethings actually
[09:30:41]  kaeos: but EVs go up to like 34 or something so idk
[09:31:34]  kaeos: ive caught 24 boxes of pokemon and beat twice that many and i still havent run into a shiny
[09:32:48]  kaeos: gn :)
[09:32:48]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[09:33:02]  cosmicmikan: byee
[09:33:20] ktrZetto is now offline.
[18:51:10]  ktrzetto: boobies
[19:02:04] FrankerFaceZ channel emotes reloaded.
[19:02:04] 7TV channel emotes reloaded.
[19:02:04] BetterTTV channel emotes reloaded.
